subject,trialnum,shapeassociation,matchingcondition,response,correct,latency
995543581,163,friend,mismatching,48,1,933
995543581,165,self,mismatching,48,1,942
995543581,167,friend,matching,47,1,886
995543581,169,friend,matching,47,1,730
995543581,171,self,matching,47,1,708
995543581,173,self,mismatching,48,1,835
995543581,177,self,matching,47,1,656
995543581,179,friend,matching,47,1,704
995543581,181,self,mismatching,48,1,743
995543581,183,self,matching,47,1,627
995543581,185,friend,mismatching,48,1,958
995543581,187,friend,mismatching,48,1,923
995543581,189,friend,matching,47,1,658
995543581,191,friend,mismatching,48,1,1137
995543581,193,self,mismatching,47,0,969
995543581,195,self,matching,47,1,966
995543581,197,self,mismatching,48,1,634
995543581,199,friend,mismatching,48,1,823
995543581,203,friend,mismatching,48,1,772
995543581,205,self,matching,47,1,861
995543581,207,self,mismatching,48,1,651
995543581,209,self,matching,47,1,729
995543581,211,self,matching,47,1,683
995543581,213,friend,matching,47,1,797
995543581,215,friend,matching,47,1,592
995543581,217,self,mismatching,48,1,605
995543581,219,self,matching,47,1,789
995543581,221,self,matching,47,1,623
995543581,223,self,mismatching,48,1,545
995543581,225,friend,mismatching,48,1,966
995543581,227,self,matching,47,1,547
995543581,229,friend,mismatching,48,1,753
995543581,231,self,mismatching,48,1,1014
995543581,233,self,mismatching,48,1,811
995543581,235,friend,mismatching,48,1,929
995543581,237,friend,mismatching,48,1,640
995543581,239,friend,matching,47,1,900
995543583,1,friend,matching,48,0,1121
995543583,3,friend,matching,47,1,1065
995543583,5,friend,mismatching,48,1,1170
995543583,7,friend,matching,47,1,916
995543583,11,friend,mismatching,47,0,996
995543583,13,self,matching,47,1,754
995543583,29,self,mismatching,47,0,1036
995543583,33,self,matching,47,1,1154
995543583,35,self,matching,47,1,509
995543583,37,self,mismatching,48,1,760
995543583,41,self,matching,47,1,680
995543583,43,self,mismatching,48,1,953
995543583,47,self,matching,47,1,1107
995543583,49,friend,mismatching,48,1,892
995543583,51,self,matching,47,1,499
995543583,53,self,mismatching,48,1,821
995543583,55,self,matching,47,1,882
995543583,57,friend,mismatching,48,1,1091
995543583,59,friend,mismatching,48,1,1115
995543583,61,self,mismatching,48,1,1097
995543583,63,self,matching,47,1,783
995543583,65,self,matching,47,1,774
995543583,67,friend,matching,48,0,806
995543583,69,self,matching,47,1,801
995543583,71,self,matching,47,1,483
995543583,73,self,mismatching,48,1,715
995543583,77,friend,matching,47,1,985
995543583,79,self,mismatching,47,0,557
995543583,81,self,matching,47,1,602
995543583,83,friend,mismatching,48,1,775
995543583,85,self,matching,47,1,452
995543583,89,self,matching,47,1,581
995543583,91,friend,matching,48,0,667
995543583,93,friend,matching,47,1,733
995543583,95,self,matching,47,1,649
995543583,97,friend,mismatching,48,1,1178
995543583,99,self,mismatching,47,0,807
995543583,101,friend,matching,47,1,1185
995543583,103,friend,mismatching,48,1,1076
995543583,107,self,matching,47,1,824
995543583,109,self,matching,47,1,480
995543583,111,self,matching,47,1,524
995543583,115,friend,matching,47,1,834
995543583,117,self,mismatching,47,0,748
995543583,121,self,mismatching,48,1,987
995543583,123,self,mismatching,48,1,925
995543583,125,self,mismatching,48,1,696
995543583,127,self,matching,47,1,683
995543583,129,self,mismatching,48,1,984
995543583,131,self,mismatching,48,1,993
995543583,133,friend,mismatching,47,0,750
995543583,135,friend,matching,47,1,1063
995543583,137,friend,mismatching,48,1,914
995543583,139,friend,mismatching,48,1,839
995543583,141,friend,matching,48,0,808
995543583,143,self,mismatching,48,1,1127
995543583,145,self,matching,47,1,663
995543583,147,friend,mismatching,48,1,745
995543583,149,friend,mismatching,48,1,783
995543583,151,self,matching,47,1,683
995543583,153,friend,matching,48,0,709
995543583,155,friend,mismatching,48,1,1097
995543583,159,self,mismatching,47,0,718
995543583,161,self,matching,47,1,768
995543583,163,friend,matching,47,1,1126
995543583,167,self,mismatching,47,0,557
995543583,169,self,mismatching,48,1,756
995543583,171,self,matching,47,1,690
995543583,181,self,mismatching,48,1,843
995543583,183,self,mismatching,48,1,815
