,subjectGroup,subject,age,sex,education,handedness,TaskName,BlockNumber,stimPos,stim1,stim2,shape,word,MATCHkey,RT,correct,question,response,condition,TaskType,Association
9851,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400; -400,square,pentagon,happyyou,NA,Yhappy_G,702,1,NA,g,pair,RG_congruent,happyyou
9951,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400,kite,NA,neutral,NA,Yhappy_G,575,1,NA,h,single,RG_congruent,neutral
10051,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400; -400,square,pentagon,happyyou,NA,Yhappy_G,733,1,NA,g,pair,RG_congruent,happyyou
10181,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,-400,kite,NA,neutral,NA,Yhappy_G,737,1,NA,h,single,RG_congruent,neutral
10253,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400,trapeze,NA,friend,NA,Yhappy_G,853,1,NA,h,single,RG_congruent,friend
10351,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400,trapeze,NA,friend,NA,Yhappy_G,729,1,NA,h,single,RG_congruent,friend
10451,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,-400,pentagon,NA,you,NA,Yhappy_G,687,1,NA,g,single,RG_congruent,you
10551,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400,kite,NA,neutral,NA,Yhappy_G,787,1,NA,h,single,RG_congruent,neutral
10651,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,-400,square,NA,happy,NA,Yhappy_G,547,1,NA,g,single,RG_congruent,happy
10751,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400; -400,trapeze,kite,friendneutral,NA,Yhappy_G,635,1,NA,h,pair,RG_congruent,friendneutral
10851,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400; -400,kite,trapeze,neutralfriend,NA,Yhappy_G,817,1,NA,h,pair,RG_congruent,neutralfriend
10951,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,-400,kite,NA,neutral,NA,Yhappy_G,719,1,NA,h,single,RG_congruent,neutral
11051,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400; -400,trapeze,kite,friendneutral,NA,Yhappy_G,809,1,NA,h,pair,RG_congruent,friendneutral
11181,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,-400,trapeze,NA,friend,NA,Yhappy_G,680,1,NA,h,single,RG_congruent,friend
11253,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400; -400,pentagon,square,youhappy,NA,Yhappy_G,704,1,NA,g,pair,RG_congruent,youhappy
11351,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400,square,NA,happy,NA,Yhappy_G,591,1,NA,g,single,RG_congruent,happy
11451,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400,pentagon,NA,you,NA,Yhappy_G,876,1,NA,g,single,RG_congruent,you
11551,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400,kite,NA,neutral,NA,Yhappy_G,711,1,NA,h,single,RG_congruent,neutral
11651,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400,trapeze,NA,friend,NA,Yhappy_G,836,1,NA,h,single,RG_congruent,friend
11751,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400,trapeze,NA,friend,NA,Yhappy_G,744,1,NA,h,single,RG_congruent,friend
11851,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400; -400,kite,trapeze,neutralfriend,NA,Yhappy_G,675,1,NA,h,pair,RG_congruent,neutralfriend
11951,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400,square,NA,happy,NA,Yhappy_G,572,1,NA,g,single,RG_congruent,happy
12051,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400,square,NA,happy,NA,Yhappy_G,594,1,NA,g,single,RG_congruent,happy
12181,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400; -400,kite,trapeze,neutralfriend,NA,Yhappy_G,699,1,NA,h,pair,RG_congruent,neutralfriend
12253,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,-400,square,NA,happy,NA,Yhappy_G,537,1,NA,g,single,RG_congruent,happy
12351,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,-400,trapeze,NA,friend,NA,Yhappy_G,716,1,NA,h,single,RG_congruent,friend
12451,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400; -400,trapeze,kite,friendneutral,NA,Yhappy_G,718,0,NA,g,pair,RG_congruent,friendneutral
12551,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400; -400,pentagon,square,youhappy,NA,Yhappy_G,607,1,NA,g,pair,RG_congruent,youhappy
12651,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400; -400,pentagon,square,youhappy,NA,Yhappy_G,794,1,NA,g,pair,RG_congruent,youhappy
12751,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400; -400,square,pentagon,happyyou,NA,Yhappy_G,535,1,NA,g,pair,RG_congruent,happyyou
12851,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,-400,kite,NA,neutral,NA,Yhappy_G,705,1,NA,h,single,RG_congruent,neutral
12951,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400; -400,square,pentagon,happyyou,NA,Yhappy_G,670,1,NA,g,pair,RG_congruent,happyyou
13051,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400; -400,pentagon,square,youhappy,NA,Yhappy_G,598,1,NA,g,pair,RG_congruent,youhappy
13181,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400,pentagon,NA,you,NA,Yhappy_G,661,1,NA,g,single,RG_congruent,you
13253,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400,pentagon,NA,you,NA,Yhappy_G,543,1,NA,g,single,RG_congruent,you
13351,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400; -400,trapeze,kite,friendneutral,NA,Yhappy_G,792,1,NA,h,pair,RG_congruent,friendneutral
13451,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,-400,kite,NA,neutral,NA,Yhappy_G,753,1,NA,h,single,RG_congruent,neutral
13551,8,52,18,female,Bachelor degree,right-handed,RG1_YH,1,400; -400,trapeze,kite,friendneutral,NA,Yhappy_G,678,1,NA,h,pair,RG_congruent,friendneutral
13651,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,-400,square,NA,happy,NA,Yhappy_G,702,1,NA,g,single,RG_congruent,happy
13751,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,-400,square,NA,happy,NA,Yhappy_G,721,1,NA,g,single,RG_congruent,happy
13851,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,400; -400,pentagon,square,youhappy,NA,Yhappy_G,705,1,NA,g,pair,RG_congruent,youhappy
13951,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,400,kite,NA,neutral,NA,Yhappy_G,645,1,NA,h,single,RG_congruent,neutral
14051,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,400; -400,pentagon,square,youhappy,NA,Yhappy_G,724,1,NA,g,pair,RG_congruent,youhappy
14181,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,400,kite,NA,neutral,NA,Yhappy_G,431,1,NA,h,single,RG_congruent,neutral
14253,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,400; -400,trapeze,kite,friendneutral,NA,Yhappy_G,828,1,NA,h,pair,RG_congruent,friendneutral
14351,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,400,kite,NA,neutral,NA,Yhappy_G,569,1,NA,h,single,RG_congruent,neutral
14451,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,-400,pentagon,NA,you,NA,Yhappy_G,731,1,NA,g,single,RG_congruent,you
14551,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,400; -400,kite,trapeze,neutralfriend,NA,Yhappy_G,611,1,NA,h,pair,RG_congruent,neutralfriend
14651,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,-400,trapeze,NA,friend,NA,Yhappy_G,724,1,NA,h,single,RG_congruent,friend
14751,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,400,square,NA,happy,NA,Yhappy_G,624,1,NA,g,single,RG_congruent,happy
14851,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,-400,square,NA,happy,NA,Yhappy_G,662,1,NA,g,single,RG_congruent,happy
14951,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,400,kite,NA,neutral,NA,Yhappy_G,499,1,NA,h,single,RG_congruent,neutral
15051,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,400; -400,square,pentagon,happyyou,NA,Yhappy_G,759,1,NA,g,pair,RG_congruent,happyyou
15181,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,-400,square,NA,happy,NA,Yhappy_G,722,1,NA,g,single,RG_congruent,happy
15253,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,400; -400,trapeze,kite,friendneutral,NA,Yhappy_G,571,1,NA,h,pair,RG_congruent,friendneutral
15351,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,400,square,NA,happy,NA,Yhappy_G,666,1,NA,g,single,RG_congruent,happy
15451,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,400,trapeze,NA,friend,NA,Yhappy_G,537,1,NA,h,single,RG_congruent,friend
15551,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,400,trapeze,NA,friend,NA,Yhappy_G,481,1,NA,h,single,RG_congruent,friend
15651,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,-400,trapeze,NA,friend,NA,Yhappy_G,570,1,NA,h,single,RG_congruent,friend
15751,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,400; -400,kite,trapeze,neutralfriend,NA,Yhappy_G,774,1,NA,h,pair,RG_congruent,neutralfriend
15851,8,52,18,female,Bachelor degree,right-handed,RG1_YH,2,400,square,NA,happy,NA,Yhappy_G,553,1,NA,g,single,RG_congruent,happy
